id,first_name,last_name,task_1_time,task_2_time,task_3_time
1,Dmitri,Smithend,2.1,8.6,9.2
2,Aubert,Olive,8.8,7.7,4.9
3,Sosanna,Fernyhough,3.5,9.2,2.4
4,Cobby,Halfacre,7.9,9.6,1.2
5,Broddy,Tamlett,8.4,7.1,2.1
6,Marabel,Kilbane,3.9,2.9,9.3
7,Grethel,Tipton,7.7,10.0,7.3
8,Nickolas,Anyene,5.5,6.6,4.2
9,Alfredo,Dakhov,2.9,9.6,6.0
10,Moses,Ganny,2.9,5.1,2.2
11,Mehetabel,Plail,6.7,7.7,7.3
12,Kerwinn,Rilings,6.8,2.7,8.2
13,Ethelbert,Lyford,4.0,9.6,7.9
14,Jeniffer,Glassopp,9.0,7.4,4.3
15,Herbie,Rannie,1.5,4.2,7.3
16,Elwin,Jodlowski,6.7,1.8,3.7
17,Clementius,Whittles,8.4,1.1,2.8
18,Juditha,Clewes,5.9,5.9,4.4
19,Kleon,De-Ville,5.8,9.9,7.1
20,Brooke,Rois,7.8,6.3,2.5
21,Thor,Maddinon,6.7,9.2,8.0
22,Corney,Dinwoodie,5.8,4.9,2.7
23,Tamar,Perrigo,3.6,8.0,7.2
24,Alyson,Nolton,4.1,2.6,6.8
25,Nana,Hick,9.3,6.8,9.8
26,Leyla,Poynter,9.7,8.2,1.2
27,Roseline,Anthiftle,9.9,2.5,7.3
28,Roscoe,O'Donegan,1.8,7.2,5.9
29,Cammy,Sugge,8.9,4.0,5.9
30,Gerri,Mayo,5.1,8.6,3.6
